inst	noh	mks	cst
ACAD	39.0327	132.4	86329.5148
ACAD	30.0158	141.4	85263.0453
ACAD	22.8392	148.6	84657.7241
ACAD	35.4587	136.0	85939.0824
ACAD	50.1298	121.3	87616.6963
ACAD	2.1785	169.3	82537.9867
ACAD	13.7361	157.7	83667.7919
ACAD	46.9184	124.5	87240.0179
ACAD	26.4068	145.1	84942.1753
ACAD	49.3859	122.1	87526.7868
ACAD	15.1273	156.3	83848.5027
ACAD	9.1589	162.3	83212.2162
ACAD	21.126	150.3	84421.0547
ACAD	48.9333	122.5	87465.934
ACAD	21.0118	150.4	84390.7496
ACAD	43.6415	127.8	86861.745
ACAD	26.5159	144.9	84920.8907
ACAD	33.0595	138.4	85666.0856
ACAD	17.5504	153.9	84077.9139
ACAD	5.3326	166.1	82848.1542
ACAD	23.1391	148.3	84619.2157
ACAD	37.9178	133.5	86202.4283
ACAD	11.1137	160.3	83412.8756
ACAD	19.336	152.1	84228.5162
ACAD	10.7898	160.7	83393.1924
ACAD	32.8682	138.6	85583.7257
ACAD	12.9391	158.5	83613.895
ACAD	41.9213	129.5	86675.0778
ACAD	22.5051	149.0	84548.9327
ACAD	40.6369	130.8	86541.1433
ACAD	19.1529	152.3	84199.2619
ACAD	8.0399	163.4	83134.0176
ACAD	15.9316	155.5	83902.2037
ACAD	4.916	166.5	82826.6225
ACAD	43.1208	128.3	86784.5976
ACAD	40.0177	131.4	86417.9571
ACAD	12.5264	158.9	83559.2108
ACAD	3.92	167.5	82710.0393
ACAD	10.1157	161.3	83327.8447
ACAD	2.9599	168.5	82613.3227
ACAD	25.4198	146.0	84846.1258
ACAD	3.3171	168.1	82652.7186
ACAD	13.7147	157.7	83676.5286
ACAD	46.1206	125.3	87180.074
ACAD	12.9883	158.5	83597.2073
ACAD	48.8163	122.6	87483.5938
ACAD	45.5136	125.9	87113.8646
ACAD	13.4103	158.0	83624.3108
ACAD	17.8537	153.6	84066.448
ACAD	40.8247	130.6	86574.9446
ACAD	32.2098	139.3	85511.4786
ACAD	38.8563	132.6	86286.9
ACAD	27.4431	144.0	85090.1554
ACAD	20.1446	151.3	84292.3938
ACAD	35.7208	135.7	85935.7884
ACAD	23.7482	147.7	84718.5038
ACAD	29.6884	141.8	85248.7915
ACAD	33.8203	137.6	85666.3122
ACAD	15.5148	155.9	83881.0984
ACAD	48.9126	122.5	87488.4749
ACAD	42.6137	128.8	86787.4857
ACAD	41.2163	130.2	86594.4566
ACAD	15.5616	155.9	83841.8958
ACAD	48.1261	123.3	87387.1904
ACAD	20.1655	151.3	84283.9883
ACAD	12.8191	158.6	83570.7009
ACAD	47.1304	124.3	87268.5858
ACAD	47.6938	123.8	87325.2254
ACAD	22.3091	149.1	84583.1235
ACAD	35.7884	135.7	85923.68
ACAD	27.0836	144.4	85031.4398
ACAD	23.0291	148.4	84643.6474
ACAD	38.4252	133.0	86256.2723
ACAD	17.6198	153.8	84066.7117
ACAD	21.9219	149.5	84491.2036
ACAD	44.0069	127.5	86888.4522
ACAD	25.1224	146.3	84826.0321
ACAD	15.2165	156.2	83811.9074
ACAD	24.1309	147.3	84747.8358
ACAD	19.3222	152.1	84252.6341
ACAD	24.6058	146.9	84758.483
ACAD	20.8964	150.6	84365.473
ACAD	10.5708	160.9	83346.7506
ACAD	31.9324	139.5	85541.7897
ACAD	19.3456	152.1	84200.5698
ACAD	33.5223	137.9	85719.2238
ACAD	16.5257	154.9	83992.1107
ACAD	45.1464	126.3	86992.0482
ACAD	14.6294	156.8	83789.9988
ACAD	37.7931	133.7	86170.7979
ACAD	43.5147	127.9	86837.3467
ACAD	41.4133	130.0	86633.5622
ACAD	9.9386	161.5	83310.7594
ACAD	28.7133	142.7	85153.4035
ACAD	50.222	121.2	87651.7497
ACAD	46.9139	124.5	87251.4765
ACAD	17.4255	154.0	84043.0204
ACAD	18.7161	152.7	84173.3372
ACAD	27.1313	144.3	84982.3228
ACAD	22.7114	148.7	84623.4236
ACAD	29.107	142.4	85199.3401
ACAD	4.9427	166.5	82803.6642
ACAD	36.3554	135.1	86024.4794
ACAD	45.8391	125.6	87132.3083
ACAD	8.224	163.2	83140.7035
ACAD	40.3413	131.1	86474.3979
ACAD	33.6239	137.8	85749.7902
ACAD	21.6548	149.8	84483.0207
ACAD	39.1199	132.3	86295.1862
ACAD	3.7319	167.7	82687.3189
ACAD	3.7143	167.7	82695.8932
ACAD	44.2549	127.2	86914.1096
ACAD	44.9149	126.5	87034.9241
ACAD	21.2216	150.2	84389.0165
ACAD	39.3283	132.1	86314.0538
ACAD	21.866	149.6	84445.4389
ACAD	43.4112	128.0	86842.174
ACAD	7.3184	164.1	83034.4785
ACAD	19.2767	152.2	84192.1967
ACAD	10.1257	161.3	83312.4821
ACAD	29.1258	142.3	85227.8082
