config	inst	time	count	best	spr	hv	gd	
nsga150k2x	I3	2010740	141	0.0310	0.6557	0.4048	0.0049	
nsga150k2x	I3	2022031	144	0.0217	0.6322	0.4019	0.0038	
nsga150k2x	I3	2012069	144	0.0279	0.5577	0.4090	0.0034	
nsga150k2x	I3	2022940	144	0.0124	0.5994	0.4028	0.0035	
nsga150k2x	I3	2008411	144	0.0186	0.7712	0.3982	0.0105	
nsga150k2x	I3	2014211	144	0.0248	0.6125	0.4040	0.0030	
nsga150k2x	I3	2013904	144	0.0186	0.6247	0.4017	0.0035	
nsga150k2x	I3	2020527	144	0.0248	0.6640	0.4069	0.0040	
nsga150k2x	I3	2009721	144	0.0155	0.6250	0.4061	0.0039	
nsga150k2x	I3	2019080	139	0.0186	0.6680	0.4010	0.0056	
nsga150k2x	I3	2012435	143	0.0217	0.9136	0.3983	0.0168	
nsga150k2x	I3	2008998	144	0.0279	0.6126	0.3918	0.0043	
nsga150k2x	I3	2008158	143	0.0341	0.5777	0.4077	0.0033	
nsga150k2x	I3	2008013	144	0.0124	0.6317	0.4000	0.0055	
nsga150k2x	I3	2014722	140	0.0093	0.5883	0.4039	0.0045	
nsga150k2x	I3	2012434	143	0.0186	0.6044	0.4061	0.0041	
nsga150k2x	I3	2004527	144	0.0186	0.6820	0.4018	0.0045	
nsga150k2x	I3	2028284	144	0.0155	0.7092	0.4056	0.0050	
nsga150k2x	I3	2014365	144	0.0310	0.8539	0.4034	0.0119	
nsga150k2x	I3	2019922	142	0.0186	0.6699	0.4058	0.0040	
nsga150k2x	I4	1508801	120	0.0130	0.4194	0.4913	0.0021	
nsga150k2x	I4	1463516	120	0.0130	0.4286	0.4906	0.0021	
nsga150k2x	I4	1469780	120	0.0078	0.4090	0.4945	0.0019	
nsga150k2x	I4	1473404	120	0.0156	0.4239	0.4952	0.0022	
nsga150k2x	I4	1469388	120	0.0156	0.4451	0.4974	0.0015	
nsga150k2x	I4	1476975	120	0.0286	0.4621	0.4963	0.0020	
nsga150k2x	I4	1472150	120	0.0234	0.4305	0.4965	0.0018	
nsga150k2x	I4	1468868	120	0.0156	0.4603	0.4967	0.0015	
nsga150k2x	I4	1472463	119	0.0417	0.4522	0.4998	0.0012	
nsga150k2x	I4	1471123	120	0.0182	0.5140	0.4961	0.0020	
nsga150k2x	I4	1470999	120	0.0156	0.4737	0.4966	0.0018	
nsga150k2x	I4	1470527	120	0.0182	0.4081	0.4931	0.0021	
nsga150k2x	I4	1468649	120	0.0182	0.4401	0.4969	0.0021	
nsga150k2x	I4	1462285	120	0.0234	0.4772	0.4968	0.0029	
nsga150k2x	I4	1460935	120	0.0130	0.3839	0.4924	0.0019	
nsga150k2x	I4	1466871	120	0.0286	0.4492	0.4993	0.0013	
nsga150k2x	I4	1467100	120	0.0234	0.4301	0.4976	0.0018	
nsga150k2x	I4	1467532	120	0.0339	0.4491	0.4988	0.0015	
nsga150k2x	I4	1467100	120	0.0312	0.4336	0.4976	0.0016	
nsga150k2x	I4	1471981	119	0.0234	0.4828	0.4994	0.0014	
nsga150k2x	I4	1462394	120	0.0104	0.5018	0.4922	0.0022	
nsga150k2x	I4	1473991	120	0.0156	0.3889	0.4970	0.0017	
nsga150k2x	I4	1477259	120	0.0130	0.4464	0.4945	0.0018	
nsga150k2x	I4	1478887	120	0.0234	0.4115	0.4947	0.0021	
nsga150k2x	I4	1483110	120	0.0156	0.4731	0.4911	0.0025	
nsga150k2x	I4	1474499	120	0.0104	0.4666	0.4959	0.0015	
nsga150k2x	I4	1474998	120	0.0052	0.4199	0.4953	0.0018	
nsga150k2x	I4	1484994	120	0.0286	0.4061	0.4958	0.0018	
nsga150k2x	I4	1480082	120	0.0156	0.4922	0.4968	0.0016	
nsga150k2x	I4	1475143	120	0.0339	0.5029	0.4977	0.0024	
nsga150k2x	I4	1475338	120	0.0469	0.4759	0.5010	0.0015	
nsga150k2x	I4	1480617	120	0.0208	0.4414	0.4978	0.0016	
nsga150k2x	I4	1477904	120	0.0208	0.4316	0.4955	0.0016	
nsga150k2x	I4	1475320	120	0.0208	0.3814	0.4972	0.0014	
nsga150k2x	I4	1479292	120	0.0208	0.5212	0.4984	0.0018	
nsga150k2x	I4	1477563	120	0.0104	0.4760	0.4961	0.0016	
nsga150k2x	I4	1477157	120	0.0312	0.4812	0.4979	0.0016	
nsga150k2x	I4	1478769	120	0.0260	0.4245	0.4987	0.0014	
nsga150k2x	I4	1479859	120	0.0234	0.4482	0.4920	0.0023	
nsga150k2x	I4	1475048	120	0.0052	0.4155	0.4932	0.0019	
nsga150k2x	I4	1474881	120	0.0104	0.4305	0.4965	0.0017	
nsga150k2x	I4	1470646	120	0.0156	0.4196	0.4951	0.0015	
nsga150k2x	I4	1475046	120	0.0078	0.4570	0.4941	0.0018	
nsga150k2x	I4	1480827	120	0.0052	0.4210	0.4905	0.0024	
nsga150k2x	I4	1479441	120	0.0104	0.4510	0.4908	0.0022	
nsga150k2x	I4	1475976	120	0.0156	0.4661	0.4938	0.0021	
nsga150k2x	I4	1474970	120	0.0312	0.3945	0.4962	0.0015	
nsga150k2x	I4	1476110	120	0.0104	0.3785	0.4970	0.0018	
nsga150k2x	I4	1483442	120	0.0208	0.4878	0.4946	0.0021	
nsga150k2x	I4	1478870	120	0.0521	0.3952	0.5000	0.0013	
nsga150k2x	I5	642038	88	0.0274	0.4091	0.5183	0.0013	
nsga150k2x	I5	641152	88	0.0603	0.4487	0.5204	0.0012	
nsga150k2x	I5	634670	88	0.0274	0.3795	0.5110	0.0021	
nsga150k2x	I5	640476	88	0.0247	0.4778	0.5165	0.0016	
nsga150k2x	I5	640865	88	0.0192	0.4460	0.5151	0.0019	
nsga150k2x	I5	643274	88	0.0219	0.4706	0.5125	0.0020	
nsga150k2x	I5	643356	88	0.0164	0.5036	0.5132	0.0020	
nsga150k2x	I5	639130	88	0.0164	0.3765	0.5127	0.0022	
nsga150k2x	I5	640709	88	0.0274	0.4169	0.5165	0.0017	
nsga150k2x	I5	640390	88	0.0027	0.4147	0.5121	0.0019	
nsga150k2x	I5	641725	88	0.0110	0.4258	0.5120	0.0022	
nsga150k2x	I5	643994	88	0.0164	0.4862	0.5127	0.0021	
nsga150k2x	I5	640935	88	0.0384	0.4633	0.5175	0.0014	
nsga150k2x	I5	637982	88	0.0247	0.3785	0.5167	0.0016	
nsga150k2x	I5	638697	88	0.0247	0.4247	0.5169	0.0017	
nsga150k2x	I5	642299	88	0.0082	0.4890	0.5141	0.0018	
nsga150k2x	I5	642282	88	0.0082	0.3995	0.5113	0.0020	
