inst	noh	mks	cst
ACAD	18.6439	152.8	84155.1863
ACAD	15.849	155.6	83853.014
ACAD	12.8784	158.6	83573.8579
ACAD	11.4277	160.0	83462.757
ACAD	23.7119	147.8	84763.403
ACAD	3.5673	167.9	82679.9944
ACAD	12.2174	159.2	83550.0486
ACAD	21.9886	149.5	84506.4935
ACAD	5.3464	166.2	82899.0437
ACAD	7.4418	164.0	83058.0139
ACAD	17.0452	154.4	83978.7059
ACAD	27.6404	143.8	85106.082
ACAD	20.7075	150.8	84354.7911
ACAD	24.0793	147.4	84719.2297
ACAD	29.2891	142.4	85415.8702
ACAD	5.572	165.9	82868.8465
ACAD	14.8508	156.6	83788.2586
ACAD	18.8863	152.7	84262.726
ACAD	18.6419	152.8	84159.9501
ACAD	19.2404	152.2	84229.9168
ACAD	15.5294	155.9	83816.7816
ACAD	11.4755	160.0	83444.2207
ACAD	13.2357	158.2	83608.1598
ACAD	16.8157	154.6	83955.2645
ACAD	11.8227	159.6	83512.2417
ACAD	30.1475	141.5	85497.4412
ACAD	22.7183	148.7	84548.5671
ACAD	6.7858	164.7	83000.9973
OMET	86.5263	398.1	241359.0866
OMET	71.1623	409.9	238103.3827
OMET	70.4779	410.3	237891.8167
OMET	55.6463	425.5	236563.3905
OMET	27.1865	453.6	233436.6058
OMET	45.5588	435.1	235291.305
OMET	62.857	418.2	237177.9318
OMET	65.945	415.2	237597.7442
OMET	69.9307	411.7	238137.5645
OMET	45.3881	435.4	235372.1861
OMET	36.2695	444.4	234283.5967
OMET	43.2103	437.9	235286.7911
OMET	22.5706	458.3	233125.8931
OMET	46.6519	434.0	235266.2479
OMET	32.8176	447.4	233773.2821
OMET	39.1527	441.7	234643.6014
OMET	45.4215	435.4	235267.1842
OMET	60.1958	420.4	236772.3447
OMET	71.7193	409.6	238229.876
OMET	57.4861	424.0	236690.5045
OMET	52.1278	429.1	236120.3686
OMET	83.8853	399.6	240552.0956
OMET	95.3741	392.1	243719.4165
OMET	78.3821	404.5	239676.6767
OMET	58.9328	421.6	236556.8127
OMET	81.0744	401.4	239776.2824
OMET	87.0724	397.7	241504.4189
OMET	114.4397	383.8	250971.5263
OMET	79.7925	402.6	239618.2337
OMET	83.5698	399.7	240392.4149
OMET	46.1345	434.6	235421.9244
OMET	29.9954	450.8	233714.7207
OMET	23.1759	457.7	233134.0785
OMET	68.3067	413.1	237816.0924
OMET	10.4552	470.1	231712.2119
OMET	20.8485	460.1	232901.8138
OMET	68.088	413.4	237990.1006
OMET	119.3085	382.1	252950.0189
OMET	15.722	464.2	231887.7977
OMET	20.7952	460.7	233149.1028
OMET	131.5938	379.6	259171.7975
OMET	31.2376	449.8	234030.3059
OMET	111.0897	385.7	249801.4504
OMET	22.3616	458.4	233006.326
OMET	52.2828	428.9	236253.5291
OMET	54.1544	426.5	236286.7855
OMET	57.6453	423.5	236885.5659
OMET	74.684	407.6	239044.6103
OMET	32.0898	448.6	233875.0328
OMET	16.8689	463.6	232299.9726
OMET	19.6799	460.9	232600.6967
OMET	39.9769	440.8	234707.0862
OMET	32.2064	447.6	233458.1603
OMET	18.9327	462.2	232829.3372
OMET	19.7728	460.8	232622.4347
OMET	68.2417	413.2	237982.1935
OMET	15.3026	465.7	232422.966
OMET	110.0018	385.8	249218.9165
OMET	61.7854	418.6	236760.9446
OMET	10.4212	471.4	232320.1207
OMET	46.3885	434.4	235306.2207
OMET	48.3154	432.7	235608.4401
OMET	105.7121	387.6	247470.2682
OMET	55.7355	425.2	236369.1374
OMET	39.0471	441.8	234757.2397
OMET	51.4153	429.2	235750.1178
OMET	83.281	400.3	240507.7419
OMET	12.749	468.5	232244.87
OMET	78.3354	404.7	239796.8704
OMET	40.8346	439.9	234848.1244
OMET	59.5889	421.4	236971.7393
OMET	76.7932	405.0	238976.9312
OMET	28.3746	452.8	233742.6585
OMET	9.6666	473.1	232712.0142
OMET	14.7267	466.2	232272.0249
OMET	62.3298	418.3	237054.2824
OMET	63.9431	417.4	237607.7302
OMET	59.495	421.5	236782.8133
OMET	87.0239	397.9	241544.048
OMET	13.8495	467.1	232219.0525
OMET	24.0963	455.8	232682.7558
OMET	65.8126	415.6	237731.2227
OMET	95.1896	392.4	243712.5656
OMET	98.7132	389.0	244148.5283
OMET	28.1226	453.2	233839.6461
OMET	23.1969	457.3	232893.8662
OMET	82.5253	401.2	240538.1976
OMET	50.4472	429.7	235619.6587
OMET	21.3029	458.8	232545.9822
OMET	22.7044	458.3	233108.8558
OMET	57.8158	423.4	236958.6852
OMET	42.8981	438.3	235204.0427
OMET	90.3581	395.5	242460.2403
OMET	93.8958	392.7	243083.3799
OMET	52.5235	428.2	236044.9899
OMET	88.5184	396.2	241745.5787
OMET	87.6245	397.3	241699.2692
OMET	56.1469	425.0	236441.8869
OMET	57.7103	423.5	236857.1777
OMET	27.4365	453.3	233420.1427
OMET	29.2817	451.6	233681.7886
OMET	31.2089	450.0	234006.3853
OMET	83.1641	400.8	240701.4903
OMET	62.2314	418.4	236965.5651
OMET	68.7495	412.7	238063.7221
OMET	31.2952	449.3	233801.3943
OMET	37.3857	443.3	234371.667
OMET	13.7753	467.3	232299.9325
OMET	57.8173	423.2	236730.6474
OMET	116.0869	382.7	251326.5962
OMET	27.212	453.5	233392.3749
OMET	22.8555	458.1	233088.6526
OMET	18.6178	462.3	232681.0619
OMET	29.7377	451.3	233793.5324
OMET	57.0131	424.3	236668.7901
OMET	88.9486	396.0	241823.0025
OMET	105.868	386.3	247014.8263
OMET	84.216	399.1	240561.3705
OMET	40.5656	440.0	234612.428
OMET	25.0818	455.6	233174.6257
OMET	105.671	387.6	247519.4823
OMET	96.6049	390.9	243811.4675
OMET	64.9079	416.3	237583.1817
OMET	93.4063	392.9	242882.9724
OMET	59.7622	420.7	236676.2588
OMET	128.8928	380.4	257993.5255
OMET	36.778	443.9	234298.0405
OMET	38.0143	442.8	234507.9022
OMET	36.6885	444.0	234280.0346
OMET	74.2747	408.0	239026.407
OMET	30.0533	450.3	233486.7147
OMET	15.671	464.6	232058.0925
OMET	52.5568	428.0	235928.3137
OMET	57.3406	423.8	236839.2276
OMET	72.8554	409.5	238879.362
OMET	37.7145	443.1	234481.565
OMET	41.9683	439.1	235044.7751
OMET	47.9636	432.8	235524.5936
OMET	105.0735	387.8	247249.809
OMET	42.9933	438.1	235091.9829
OMET	100.5923	388.7	245053.2295
OMET	11.866	469.2	232089.0799
OMET	31.786	449.2	233993.2747
OMET	73.7784	408.4	238908.3331
OMET	43.6001	436.3	234718.4911
OMET	73.6163	408.5	238871.4132
OMET	21.1824	459.8	232944.9527
OMET	48.8542	431.2	235416.7073
OMET	19.2774	461.9	232887.1007
OMET	44.751	435.8	235148.595
OMET	129.7824	379.9	258231.8867
OMET	36.3573	444.1	234196.261
OMET	60.7886	420.0	236992.567
OMET	57.9907	423.2	236645.7381
OMET	69.3634	412.4	238255.878
OMET	67.9055	413.8	238138.8811
OMET	61.3428	419.1	236788.2028
OMET	19.6327	461.5	232847.4169
OMET	121.4264	381.4	253919.4635
OMET	13.4798	467.4	232154.1569
OMET	84.4594	398.7	240467.0522
OMET	65.2603	416.2	237657.0854
OMET	48.5303	432.5	235688.453
OMET	75.1887	406.9	238971.8198
OMET	29.8226	451.0	233750.41
OMET	80.6386	402.3	239979.9352
OMET	80.9788	401.8	239931.2306
OMET	14.7195	466.2	232309.5502
OMET	115.7241	383.7	251625.3982
OMET	103.0902	388.1	246291.3733
OMET	112.2061	384.7	250012.4123
OMET	120.7016	382.0	253808.8253
OMET	111.1335	384.9	249479.9892
OMET	23.431	456.9	232912.8702
OMET	23.9802	456.1	232829.3522
OMET	90.1653	395.8	242385.2657
OMET	25.6372	454.9	233194.5874
OMET	98.5796	390.7	244851.5262
OMET	79.5604	403.3	239840.9782
OMET	25.8777	454.8	233265.6141
OMET	63.6577	417.5	237361.3675
OMET	78.9111	403.9	239766.498
OMET	45.0486	435.7	235172.8986
OMET	17.6712	463.0	232431.1533
OMET	58.2596	421.8	236328.1523
OMET	51.1213	429.6	235730.0204
OMET	109.462	386.1	249004.6579
OMET	132.0939	378.8	259072.2694
OMET	66.5279	414.1	237411.3276
OMET	92.8452	393.9	243061.0714
OMET	48.8538	432.4	235745.0945
OMET	53.0257	427.7	235907.3739
OMET	65.8429	415.4	237509.2916
OMET	75.7949	406.5	239092.1632
OMET	55.6447	425.7	236508.663
OMET	35.3382	444.6	233838.8784
OMET	22.0924	458.6	232910.3842
OMET	32.1285	448.5	233855.0585
OMET	37.0235	443.7	234374.8431
OMET	38.9418	442.1	234883.9797
OMET	38.5586	442.3	234624.0363
OMET	29.1068	452.0	233834.1022
OMET	42.1372	438.8	234988.9972
OMET	41.4206	439.4	234826.9245
OMET	55.3111	425.8	236302.5182
OMET	135.6002	378.7	261112.3944
OMET	95.8369	392.0	243905.5408
OMET	93.26	393.5	243063.5729
OMET	30.4488	450.1	233687.5146
OMET	26.7121	454.7	233676.5819
OMET	86.4605	398.4	241460.9548
OMET	64.1127	417.0	237297.0347
OMET	88.2402	397.1	241905.3752
OMET	83.002	401.1	240745.1004
OMET	109.0651	386.2	248819.7344
OMET	54.2119	426.2	236124.7187
OMET	90.3846	394.7	242054.6804
OMET	39.4401	441.2	234571.2216
OMET	13.3898	467.8	232311.8939
OMET	45.23	435.6	235255.3669
OMET	64.6814	416.5	237376.1772
OMET	56.9685	424.5	236670.0605
OMET	34.6163	446.1	234158.2107
OMET	69.9569	411.5	238211.6643
OMET	63.2485	418.1	237514.4244
OMET	49.9821	430.7	235641.9841
OMET	126.084	380.6	256422.6516
OMET	14.0995	466.7	232181.1945
OMET	58.1314	422.8	236693.6355
OMET	35.2831	445.1	234019.0145
OMET	74.0621	408.1	238899.9934
OMET	45.8752	434.7	235163.2881
OMET	37.3306	443.5	234468.4256
OMET	83.2534	400.5	240637.609
OMET	76.5448	405.1	238950.2958
OMET	73.3259	408.9	238914.0363
OMET	91.8651	394.2	242657.0916
OMET	49.0624	431.2	235391.7821
OMET	28.4519	452.1	233440.191
OMET	74.7175	407.5	238953.9562
OMET	73.34	408.9	238882.1077
OMET	46.1563	434.5	235342.9902
OMET	46.9405	433.5	235345.3239
OMET	127.6076	380.5	257253.5155
OMET	53.2541	427.0	235850.4416
OMET	50.876	429.7	235618.4776
OMET	56.5464	424.6	236423.1234
OMET	55.2619	426.0	236434.7526
OMET	50.1161	430.6	235755.7101
OMET	42.5698	438.5	235147.0671
OMET	43.0935	438.0	235153.7249
OMET	52.4345	428.7	236086.2681
OMET	77.5552	404.9	239447.8262
OMET	76.1763	406.0	239152.8435
